algorithm,transformation,max_features,ngram_range,data_type,mean_balanced_accuracy,mean_recall
SVML,tfidf,800,"(1, 3)",clean_lemmatization,0.95,0.9
LR1,tfidf,800,"(1, 3)",clean_lemmatization,0.85,0.71
LR2,tfidf,800,"(1, 3)",clean_lemmatization,0.87,0.73
RF,tfidf,800,"(1, 3)",clean_lemmatization,0.95,0.91
XGB,tfidf,800,"(1, 3)",clean_lemmatization,0.88,0.78
NB,tfidf,800,"(1, 3)",clean_steeming_lemmatization,0.9,0.85
SVMR,tfidf,800,"(1, 3)",clean_steeming_lemmatization,0.5,0.0
SVML,tfidf,800,"(1, 3)",clean_steeming_lemmatization,0.96,0.92
LR1,tfidf,800,"(1, 3)",clean_steeming_lemmatization,0.87,0.74
LR2,tfidf,800,"(1, 3)",clean_steeming_lemmatization,0.88,0.76
RF,tfidf,800,"(1, 3)",clean_steeming_lemmatization,0.95,0.91
XGB,tfidf,800,"(1, 3)",clean_steeming_lemmatization,0.88,0.78
